Proptype,Locality,Count,lat,lng,ROI
KONDOMINIUM,"MENARA KENANGA, KUALA LUMPUR",228,3.1838441,101.7546392,36.24812275
KONDOMINIUM,"MENARA KLH, KUALA LUMPUR",59,3.177331,101.6858722,35.40664319
KONDOMINIUM,"MENARA MEGAH, KUALA LUMPUR",147,3.1725575,101.6883989,32.07430473
KONDOMINIUM,"MENARA POLO, KUALA LUMPUR",160,3.1506493,101.7390351,25.82846101
KONDOMINIUM,"MENARA PROMENADE, KUALA LUMPUR",84,3.1627212,101.7171045,20.29630492
KONDOMINIUM,"MENARA RAJAWALI, PETALING",30,3.0738728,101.5908548,9.959263787
KONDOMINIUM,"MENARA SEPUTIH, KUALA LUMPUR",114,3.1151666,101.6796783,35.63732649
KONDOMINIUM,"MENARA WARISAN, KUALA LUMPUR",224,3.1418445,101.7006433,33.77605209
KONDOMINIUM,"MENJALARA 18, KUALA LUMPUR",160,3.1923897,101.6350294,13.33157039
KONDOMINIUM,"MERC RESIDENCE, KUALA LUMPUR",18,3.110023,101.6809729,11.94104256
